2007-09-11,4.925000,4.939286,4.776786,4.838929,4.154784,971885600
2007-09-10,4.892500,4.930000,4.783929,4.882500,4.192195,1487838800
2007-09-07,4.714643,4.725000,4.642857,4.706071,4.040710,1430576000
2007-09-06,4.841429,4.913214,4.739643,4.821786,4.140065,1901261600
2007-09-05,5.177500,5.208571,4.860714,4.884286,4.193729,2328222400
2007-09-04,4.997857,5.204643,4.994286,5.148571,4.420647,1316842800
2007-08-31,4.981786,4.987500,4.907500,4.945714,4.246471,876887200
2007-08-30,4.738214,4.937500,4.725000,4.866071,4.178089,1435582400
2007-08-29,4.638571,4.792143,4.626429,4.788571,4.111545,1166860800
2007-08-28,4.678214,4.728929,4.522500,4.529286,3.888919,1179365600
2007-08-27,4.763929,4.809286,4.717857,4.723214,4.055429,707439600
2007-08-24,4.661786,4.834643,4.636071,4.832143,4.148957,911834000
2007-08-23,4.753214,4.762143,4.634286,4.681071,4.019243,866838000
2007-08-22,4.686429,4.741071,4.654643,4.732500,4.063404,1061765600
2007-08-21,4.364643,4.605714,4.321429,4.556071,3.911916,1303047200
2007-08-20,4.427143,4.446429,4.303571,4.365000,3.747861,803317200
2007-08-17,4.357500,4.410714,4.279286,4.359286,3.742954,1195062400
2007-08-16,4.178929,4.232143,3.986429,4.180357,3.589323,1866690000
2007-08-15,4.383571,4.459286,4.273214,4.282143,3.676719,992852000
2007-08-14,4.581786,4.582143,4.418214,4.429643,3.803365,739006800
2007-08-13,4.582857,4.619643,4.517857,4.563929,3.918665,752911600
2007-08-10,4.397143,4.562500,4.296429,4.464286,3.833109,1410749200
2007-08-09,4.682500,4.750000,4.467500,4.513929,3.875734,1125395600
2007-08-08,4.884286,4.887857,4.714286,4.786071,4.109400,808096800
2007-08-07,4.819286,4.901429,4.736786,4.822500,4.140679,949936400
2007-08-06,4.746429,4.831071,4.582143,4.830357,4.147424,925170400
2007-08-03,4.830714,4.855357,4.696429,4.708929,4.043164,679187600
2007-08-02,4.880357,4.891429,4.791071,4.874643,4.185449,852644800
2007-08-01,4.772857,4.835000,4.563214,4.821429,4.139758,1750156800
2007-07-31,5.106071,5.124286,4.697143,4.705714,4.040403,1762392800
2007-07-30,5.154643,5.194643,4.984643,5.051071,4.336933,1106988400
2007-07-27,5.221071,5.318571,5.135000,5.137500,4.411141,1161098400
2007-07-26,5.211071,5.303571,4.891429,5.214286,4.477071,2186629200
2007-07-25,4.905357,4.941429,4.821429,4.902143,4.209060,1496182800
2007-07-24,4.960000,5.035714,4.791071,4.817500,4.136385,1795292800
